alpha body, CLh_e
  -4.000000,   -0.271596
  -3.517241,   -0.252055
  -3.034483,   -0.232319
  -2.551724,   -0.212389
  -2.068966,   -0.192266
  -1.586207,   -0.171950
  -1.103448,   -0.151442
  -0.620690,   -0.130741
  -0.137931,   -0.109848
   0.344828,   -0.088376
   0.827586,   -0.067126
   1.310345,   -0.045686
   1.793103,   -0.024055
   2.275862,   -0.002234
   2.758621,    0.019782
   3.241379,    0.041989
   3.724138,    0.064389
   4.206897,    0.086983
   4.689655,    0.109770
   5.172414,    0.132752
   5.655172,    0.155926
   6.137931,    0.179297
   6.620690,    0.202859
   7.103448,    0.226618
   7.586207,    0.250571
   8.068966,    0.273347
