Ground Distance, Emission CO
   0.000000,    0.000000
   0.015488,    0.000000
   0.169973,    0.000000
   0.341596,    0.000000
   0.513220,    0.000000
   0.684843,    0.000000
   0.856466,    0.000000
   1.028089,    0.000000
   1.199713,    0.000000
   1.371336,    0.000000
   1.542959,    0.000000
   1.714582,    0.000000
   2.133732,    0.000000
   2.583788,    0.000000
   3.033843,    0.000000
   3.483899,    0.000000
   3.933955,    0.000000
   4.384010,    0.000000
   4.834066,    0.000000
   5.284122,    0.000000
   5.734177,    0.000000
   6.184233,    0.000000
   6.878893,    0.000000
   7.604095,    0.000000
   8.329296,    0.000000
   9.054498,    0.000000
   9.779699,    0.000000
  10.504901,    0.000000
  11.230102,    0.000000
  11.955303,    0.000000
  12.680505,    0.000000
  13.405706,    0.000000
  14.372573,    0.000000
  15.369614,    0.000000
  16.366654,    0.000000
  17.363695,    0.000000
  18.360736,    0.000000
  19.357777,    0.000000
  20.354817,    0.000000
  21.351858,    0.000000
  22.348899,    0.000000
  23.345940,    0.000000
  24.581690,    0.000000
  25.847246,    0.000000
  27.112802,    0.000000
  28.378359,    0.000000
  29.643915,    0.000000
  30.909471,    0.000000
  32.175027,    0.000000
  33.440583,    0.000000
  34.706139,    0.000000
  35.971695,    0.000000
  37.472993,    0.000000
  39.003725,    0.000000
  40.534457,    0.000000
  42.065189,    0.000000
  43.595922,    0.000000
  45.126654,    0.000000
  46.657386,    0.000000
  48.188119,    0.000000
  49.718851,    0.000000
  51.249583,    0.000000
  53.013077,    0.000000
  54.805634,    0.000000
  56.598190,    0.000000
  58.390747,    0.000000
  60.183303,    0.000000
  61.975860,    0.000000
  63.768416,    0.000000
  65.560973,    0.000000
  67.353529,    0.000000
  69.146086,    0.000000
  71.168415,    0.000000
  73.219433,    0.000000
  75.270451,    0.000000
  77.321469,    0.000000
  79.372487,    0.000000
  81.423505,    0.000000
  83.474524,    0.000000
  85.525542,    0.000000
  87.576560,    0.000000
  89.627578,    0.000000
  91.905372,    0.000000
  94.211480,    0.000000
  96.517589,    0.000000
