alpha body, d_epsilon/d_alpha
  -4.000000,    0.334000
  -3.172414,    0.334000
  -2.344828,    0.334000
  -1.517241,    0.334000
  -0.689655,    0.334000
   0.137931,    0.334000
   0.965517,    0.334000
   1.793103,    0.334000
   2.620690,    0.334000
   3.448276,    0.334000
   4.275862,    0.334000
   5.103448,    0.334000
   5.931034,    0.334000
   6.758621,    0.334000
   7.586207,    0.334000
   8.413793,    0.334000
   9.241379,    0.334000
  10.068966,    0.334000
  10.896552,    0.334000
  11.724138,    0.334000
  12.551724,    0.334000
  13.379310,    0.334000
  14.206897,    0.334000
  15.034483,    0.334000
  15.862069,    0.334000
