alpha body, d_epsilon/d_alpha
  -4.000000,    0.295439
  -3.172414,    0.317551
  -2.344828,    0.341425
  -1.517241,    0.344891
  -0.689655,    0.348244
   0.137931,    0.351483
   0.965517,    0.354609
   1.793103,    0.357620
   2.620690,    0.360519
   3.448276,    0.363305
   4.275862,    0.360369
   5.103448,    0.345195
   5.931034,    0.332432
   6.758621,    0.328579
   7.586207,    0.322255
   8.413793,    0.294171
   9.241379,    0.221165
  10.068966,    0.108684
  10.896552,   -0.018344
  11.724138,   -0.133604
  12.551724,   -0.211721
  13.379310,   -0.228948
  14.206897,   -0.163352
  15.034483,    0.005919
  15.862069,    0.300754
