eta, Cd
   0.000000,    0.017157
   0.020408,    0.017206
   0.040816,    0.017241
   0.061224,    0.017268
   0.081633,    0.017293
   0.102041,    0.017314
   0.122449,    0.017334
   0.142857,    0.017351
   0.163265,    0.017368
   0.183673,    0.017383
   0.204082,    0.017397
   0.224490,    0.017409
   0.244898,    0.017421
   0.265306,    0.017431
   0.285714,    0.017440
   0.306122,    0.017448
   0.326531,    0.017455
   0.346939,    0.017461
   0.367347,    0.017465
   0.387755,    0.017468
   0.408163,    0.017471
   0.428571,    0.017472
   0.448980,    0.017471
   0.469388,    0.017470
   0.489796,    0.017468
   0.510204,    0.017463
   0.530612,    0.017455
   0.551020,    0.017446
   0.571429,    0.017435
   0.591837,    0.017423
   0.612245,    0.017408
   0.632653,    0.017391
   0.653061,    0.017372
   0.673469,    0.017351
   0.693878,    0.017326
   0.714286,    0.017299
   0.734694,    0.017268
   0.755102,    0.017239
   0.775510,    0.017208
   0.795918,    0.017175
   0.816327,    0.017141
   0.836735,    0.017107
   0.857143,    0.017084
   0.877551,    0.017077
   0.897959,    0.017100
   0.918367,    0.017212
   0.938776,    0.017546
   0.959184,    0.018731
   0.979592,    0.025210
   1.000000,    0.007208
