alpha_h, CL
  -3.893380,   -0.264822
  -3.310295,   -0.225162
  -2.763810,   -0.187991
  -2.220240,   -0.151018
  -1.679492,   -0.114237
  -1.141472,   -0.077641
  -0.606085,   -0.041225
  -0.073238,   -0.004982
   0.457164,    0.031096
   0.985213,    0.067013
   1.511003,    0.102776
   2.043913,    0.139024
   2.594819,    0.176496
   3.148853,    0.214181
   3.706137,    0.252086
   4.270637,    0.290483
   4.874405,    0.331550
   5.559744,    0.378166
   6.349687,    0.431897
   7.245279,    0.492814
   8.225998,    0.559521
   9.250886,    0.629233
  10.260118,    0.697884
  11.176435,    0.760449
  11.905492,    0.810630
