Time, Aircraft mass
   0.000000, 50364.022146
   0.449971, 50339.681762
  18.880803, 49700.425244
  44.076949, 49159.084589
  63.076949, 48962.309860
  69.173496, 48717.102296
  84.891594, 48234.478175
  93.891594, 48161.933293
 123.891594, 47582.116923
 124.858261, 47572.020410
 125.129166, 47572.020410
