eta, Cd
   0.000000, 1328.690985
   0.020408, 1328.382864
   0.040816, 1316.753492
   0.061224, 1302.670308
   0.081633, 1287.270279
   0.102041, 1271.129737
   0.122449, 1254.741696
   0.142857, 1237.754758
   0.163265, 1220.256310
   0.183673, 1202.309987
   0.204082, 1183.965472
   0.224490, 1165.264200
   0.244898, 1146.542832
   0.265306, 1127.667849
   0.285714, 1108.256298
   0.306122, 1093.422455
   0.326531, 1090.621106
   0.346939, 1087.187983
   0.367347, 1083.228376
   0.387755, 1078.707953
   0.408163, 1073.597841
   0.428571, 1067.872125
   0.448980, 1061.506445
   0.469388, 1054.477793
   0.489796, 1046.772326
   0.510204, 1038.318591
   0.530612, 1029.088149
   0.551020, 1019.091656
   0.571429, 1008.280605
   0.591837,  996.611552
   0.612245,  984.036048
   0.632653,  970.498000
   0.653061,  955.931262
   0.673469,  940.256752
   0.693878,  923.539498
   0.714286,  905.861766
   0.734694,  886.803817
   0.755102,  866.198735
   0.775510,  843.835518
   0.795918,  819.444323
   0.816327,  793.203866
   0.836735,  764.960794
   0.857143,  733.554387
   0.877551,  699.433493
   0.897959,  661.822361
   0.918367,  621.813727
   0.938776,  581.094000
   0.959184,  552.126017
   0.979592,  682.372052
   1.000000, -882.919281
