Mach, Rate of Climb
   0.238087,    4.249878
   0.239925,    4.268819
   0.241762,    4.288118
   0.243600,    4.312119
   0.245437,    4.333826
   0.247275,    4.354620
   0.249112,    4.373453
   0.250950,    4.390801
   0.252787,    4.406919
   0.254625,    4.420876
   0.256462,    4.434165
   0.258300,    4.444805
   0.260137,    4.455057
   0.261975,    4.462571
   0.263812,    4.469763
   0.265650,    4.474182
   0.267487,    4.478340
   0.269325,    4.479668
   0.271162,    4.480584
   0.273000,    4.479089
   0.274837,    4.476671
   0.276675,    4.475182
   0.278512,    4.475402
   0.280350,    4.474948
   0.282187,    4.471827
   0.284025,    4.468324
   0.285862,    4.462767
   0.287700,    4.455800
   0.289537,    4.448399
   0.291375,    4.437898
   0.293212,    4.426918
   0.295050,    4.414834
   0.296887,    4.400209
   0.298725,    4.385055
   0.300562,    4.368527
   0.302400,    4.349626
   0.304237,    4.330146
   0.306075,    4.309461
   0.307912,    4.286139
   0.309750,    4.262189
   0.311587,    4.240743
   0.313425,    4.217616
   0.315262,    4.193793
   0.317100,    4.169346
   0.318937,    4.142921
   0.320775,    4.114529
   0.322612,    4.085463
   0.324450,    4.055723
   0.326287,    4.023110
   0.328125,    3.989309
   0.329962,    3.954785
   0.331800,    3.919535
   0.333637,    3.881176
   0.335475,    3.841761
   0.337312,    3.801572
   0.339150,    3.760607
   0.340987,    3.717033
   0.342825,    3.671811
   0.344662,    3.625764
   0.346500,    3.583460
   0.348337,    3.540368
   0.350175,    3.494284
   0.352012,    3.447378
   0.353850,    3.399648
   0.355687,    3.351093
   0.357525,    3.300876
   0.359362,    3.247980
   0.361200,    3.194209
   0.363037,    3.139563
   0.364875,    3.084037
   0.366712,    3.027476
   0.368550,    2.967515
   0.370387,    2.906628
   0.372225,    2.844812
   0.374062,    2.782064
   0.375900,    2.718382
   0.377737,    2.652830
   0.379575,    2.585331
   0.381412,    2.521280
   0.383250,    2.456295
   0.385087,    2.390373
   0.386925,    2.323512
   0.388762,    2.255374
   0.390600,    2.183953
   0.392437,    2.111546
   0.394275,    2.038150
   0.396112,    1.963763
   0.397950,    1.888380
   0.399787,    1.812000
   0.401625,    1.733830
   0.403462,    1.652767
   0.405300,    1.570661
   0.407137,    1.487508
   0.408975,    1.403305
   0.410812,    1.318050
   0.412650,    1.231738
   0.414487,    1.146180
   0.416325,    1.060550
   0.418162,    0.973228
   0.420000,    0.884844
