Cl, Efficiency
  -0.039008,   -1.325255
   0.014185,    0.486997
   0.067397,    2.300867
   0.120628,    4.030427
   0.173877,    5.601082
   0.227145,    6.959329
   0.280431,    8.078022
   0.333736,    8.952712
   0.387058,    9.597187
   0.444861,   10.139789
   0.497092,   10.373907
   0.549340,   10.470811
   0.601605,   10.461281
   0.653887,   10.370782
   0.706186,   10.220061
   0.758501,   10.026464
   0.810832,    9.802335
   0.863179,    9.559334
   0.915542,    9.305420
   0.967920,    9.046555
   1.020314,    8.787070
   1.072721,    8.529474
   1.125144,    8.276255
   1.177580,    8.029741
   1.230030,    7.790713
   1.282494,    7.558781
   1.334971,    7.327497
   1.387461,    7.104948
   1.439963,    6.887447
   1.491878,    6.662809
