Cl, Efficiency
  -0.041906,   -1.425759
   0.015101,    0.519302
   0.072130,    2.467024
   0.129181,    4.324708
   0.186255,    6.011791
   0.243350,    7.470453
   0.300467,    8.671298
   0.357605,    9.609470
   0.414765,   10.300030
   0.476727,   10.880667
   0.532721,   11.131382
   0.588735,   11.235793
   0.644770,   11.225591
   0.700825,   11.128024
   0.756900,   10.965562
   0.812995,   10.757159
   0.869110,   10.517470
   0.925244,   10.257047
   0.981397,    9.984873
   1.037569,    9.707188
   1.093760,    9.428399
   1.149969,    9.152030
   1.206197,    8.880771
   1.262442,    8.616488
   1.318705,    8.360089
   1.374986,    8.111309
   1.431283,    7.865433
   1.487598,    7.628703
   1.543929,    7.401370
   1.599634,    7.182696
