eta, D
   0.000000,  191.615358
   0.020408,  189.271197
   0.040816,  186.978735
   0.061224,  184.685899
   0.081633,  182.391404
   0.102041,  180.094580
   0.122449,  177.795029
   0.142857,  175.492498
   0.163265,  173.186821
   0.183673,  170.877888
   0.204082,  168.565625
   0.224490,  166.249981
   0.244898,  163.930918
   0.265306,  161.608409
   0.285714,  159.282430
   0.306122,  156.952956
   0.326531,  154.619963
   0.346939,  152.283420
   0.367347,  149.943293
   0.387755,  147.599537
   0.408163,  145.252100
   0.428571,  142.900918
   0.448980,  140.545914
   0.469388,  138.187000
   0.489796,  135.824093
   0.510204,  133.456938
   0.530612,  131.085362
   0.551020,  128.709301
   0.571429,  126.328504
   0.591837,  123.942707
   0.612245,  121.551599
   0.632653,  119.154816
   0.653061,  116.751925
   0.673469,  114.342413
   0.693878,  111.925668
   0.714286,  109.500956
   0.734694,  107.067391
   0.755102,  104.623897
   0.775510,  102.169155
   0.795918,   99.701537
   0.816327,   97.219001
   0.836735,   94.718957
   0.857143,   92.198055
   0.877551,   89.651859
   0.897959,   87.074305
   0.918367,   84.456745
   0.938776,   81.786199
   0.959184,   79.214452
   0.979592,   76.672084
   1.000000,   73.568043
