eta, D
   0.000000,  188.693606
   0.020408,  188.693606
   0.040816,  188.693606
   0.061224,  188.693606
   0.081633,  188.693606
   0.102041,  188.693606
   0.122449,  188.693606
   0.142857,  188.693606
   0.163265,  188.693606
   0.183673,  188.693606
   0.204082,  188.693606
   0.224490,  188.693606
   0.244898,  188.693606
   0.265306,  188.693606
   0.285714,  188.693606
   0.306122,  188.693606
   0.326531,  188.693606
   0.346939,  188.693606
   0.367347,  188.693606
   0.387755,  188.693606
   0.408163,  188.693606
   0.428571,  188.693606
   0.448980,  188.693606
   0.469388,  188.693606
   0.489796,  188.693606
   0.510204,  188.693606
   0.530612,  188.693606
   0.551020,  188.693606
   0.571429,  188.693606
   0.591837,  188.693606
   0.612245,  188.693606
   0.632653,  188.693606
   0.653061,  188.693606
   0.673469,  188.693606
   0.693878,  188.693606
   0.714286,  188.693606
   0.734694,  188.693606
   0.755102,  188.693606
   0.775510,  188.693606
   0.795918,  188.693606
   0.816327,  188.693606
   0.836735,  188.693606
   0.857143,  188.693606
   0.877551,  188.693606
   0.897959,  188.693606
   0.918367,  188.693606
   0.938776,  188.693606
   0.959184,  188.693606
   0.979592,  188.693606
   1.000000,  188.693606
