eta, D
   0.000000,  262.567786
   0.020408,  260.061916
   0.040816,  258.581260
   0.061224,  257.093764
   0.081633,  255.574080
   0.102041,  254.173799
   0.122449,  252.777815
   0.142857,  251.317336
   0.163265,  249.788835
   0.183673,  248.189973
   0.204082,  246.519179
   0.224490,  244.775374
   0.244898,  242.957785
   0.265306,  241.065822
   0.285714,  239.098978
   0.306122,  237.069147
   0.326531,  235.122367
   0.346939,  233.090395
   0.367347,  230.972377
   0.387755,  228.767274
   0.408163,  226.473819
   0.428571,  224.090479
   0.448980,  221.615425
   0.469388,  219.046531
   0.489796,  216.381837
   0.510204,  213.615150
   0.530612,  210.742328
   0.551020,  207.761873
   0.571429,  204.667798
   0.591837,  201.453726
   0.612245,  198.150005
   0.632653,  194.718347
   0.653061,  191.125124
   0.673469,  187.356754
   0.693878,  183.397037
   0.714286,  179.226540
   0.734694,  174.821822
   0.755102,  170.163908
   0.775510,  165.295604
   0.795918,  160.118370
   0.816327,  154.583281
   0.836735,  148.628227
   0.857143,  142.172914
   0.877551,  135.154258
   0.897959,  127.774222
   0.918367,  119.537497
   0.938776,  110.800447
   0.959184,  101.343443
   0.979592,   93.078439
   1.000000,   73.568043
