CL_e, delta_e_eq
  -0.117261,    1.226731
  -0.061361,    0.769129
  -0.005411,    0.380975
   0.050590,   -0.001808
   0.106640,   -0.379146
   0.162742,   -0.751195
   0.218895,   -1.117995
   0.275099,   -1.479525
   0.331355,   -1.836711
   0.387767,   -2.181915
   0.444120,   -2.529897
   0.500525,   -2.872672
   0.556982,   -3.210195
   0.613493,   -3.542499
   0.670058,   -3.869353
   0.726676,   -4.190956
   0.783350,   -4.507301
   0.840078,   -4.818395
   0.896862,   -5.126287
   0.953702,   -5.431682
   1.010598,   -5.734450
   1.067550,   -6.048157
   1.124559,   -6.369770
   1.181626,   -6.688934
   1.238750,   -7.006319
   1.289143,   -7.397336
