CL_e, delta_e_eq
  -0.127282,    0.511248
  -0.066638,    0.392342
  -0.005938,    0.343377
   0.054821,    0.300260
   0.115635,    0.263026
   0.176506,    0.231500
   0.237433,    0.205608
   0.298417,    0.185348
   0.359458,    0.170679
   0.420668,    0.169874
   0.481813,    0.165911
   0.543013,    0.167381
   0.604270,    0.174311
   0.665583,    0.186642
   0.726952,    0.204582
   0.788378,    0.227909
   0.849860,    0.256608
   0.911399,    0.290649
   0.972995,    0.330010
   1.034648,    0.374819
   1.096358,    0.422254
   1.158125,    0.459016
   1.219948,    0.488057
   1.281829,    0.519486
   1.343767,    0.552632
   1.398402,    0.472926
