alpha, CL
  -3.893380,   -0.476551
  -3.310295,   -0.436890
  -2.763810,   -0.399719
  -2.220240,   -0.362746
  -1.679492,   -0.325965
  -1.141472,   -0.289370
  -0.606085,   -0.252953
  -0.073238,   -0.216710
   0.457164,   -0.180633
   0.985213,   -0.144716
   1.511003,   -0.108952
   2.043913,   -0.072704
   2.594819,   -0.035232
   3.148853,    0.002452
   3.706137,    0.040358
   4.270637,    0.078755
   4.874405,    0.119822
   5.559744,    0.166438
   6.349687,    0.220169
   7.245279,    0.281086
   8.225998,    0.347793
   9.250886,    0.417504
  10.260118,    0.486155
  11.176435,    0.548721
  11.905492,    0.598902
