alpha, CL
  -3.893380,   -0.872486
  -3.310295,   -0.832826
  -2.763810,   -0.795655
  -2.220240,   -0.758682
  -1.679492,   -0.721901
  -1.141472,   -0.685305
  -0.606085,   -0.648889
  -0.073238,   -0.612646
   0.457164,   -0.576568
   0.985213,   -0.540651
   1.511003,   -0.504888
   2.043913,   -0.468640
   2.594819,   -0.431168
   3.148853,   -0.393483
   3.706137,   -0.355578
   4.270637,   -0.317181
   4.874405,   -0.276114
   5.559744,   -0.229498
   6.349687,   -0.175767
   7.245279,   -0.114850
   8.225998,   -0.048143
   9.250886,    0.021569
  10.260118,    0.090220
  11.176435,    0.152785
  11.905492,    0.202966
