alpha, CL
  -3.893380,   -0.681583
  -3.310295,   -0.641922
  -2.763810,   -0.604751
  -2.220240,   -0.567778
  -1.679492,   -0.530997
  -1.141472,   -0.494402
  -0.606085,   -0.457985
  -0.073238,   -0.421742
   0.457164,   -0.385665
   0.985213,   -0.349747
   1.511003,   -0.313984
   2.043913,   -0.277736
   2.594819,   -0.240264
   3.148853,   -0.202580
   3.706137,   -0.164674
   4.270637,   -0.126277
   4.874405,   -0.085210
   5.559744,   -0.038594
   6.349687,    0.015137
   7.245279,    0.076054
   8.225998,    0.142761
   9.250886,    0.212472
  10.260118,    0.281123
  11.176435,    0.343689
  11.905492,    0.393870
