alpha, CL
  -3.893380,   -0.848494
  -3.310295,   -0.808834
  -2.763810,   -0.771663
  -2.220240,   -0.734690
  -1.679492,   -0.697909
  -1.141472,   -0.661313
  -0.606085,   -0.624897
  -0.073238,   -0.588653
   0.457164,   -0.552576
   0.985213,   -0.516659
   1.511003,   -0.480896
   2.043913,   -0.444648
   2.594819,   -0.407176
   3.148853,   -0.369491
   3.706137,   -0.331586
   4.270637,   -0.293189
   4.874405,   -0.252122
   5.559744,   -0.205506
   6.349687,   -0.151775
   7.245279,   -0.090858
   8.225998,   -0.024151
   9.250886,    0.045561
  10.260118,    0.114212
  11.176435,    0.176778
  11.905492,    0.226958
