alpha, CL
  -3.893380,   -1.036814
  -3.310295,   -0.997153
  -2.763810,   -0.959982
  -2.220240,   -0.923009
  -1.679492,   -0.886228
  -1.141472,   -0.849633
  -0.606085,   -0.813216
  -0.073238,   -0.776973
   0.457164,   -0.740896
   0.985213,   -0.704978
   1.511003,   -0.669215
   2.043913,   -0.632967
   2.594819,   -0.595495
   3.148853,   -0.557811
   3.706137,   -0.519905
   4.270637,   -0.481508
   4.874405,   -0.440441
   5.559744,   -0.393825
   6.349687,   -0.340094
   7.245279,   -0.279177
   8.225998,   -0.212470
   9.250886,   -0.142759
  10.260118,   -0.074108
  11.176435,   -0.011542
  11.905492,    0.038639
