alpha, CL
  -3.893380,   -0.053094
  -3.310295,   -0.013433
  -2.763810,    0.023738
  -2.220240,    0.060711
  -1.679492,    0.097492
  -1.141472,    0.134087
  -0.606085,    0.170503
  -0.073238,    0.206747
   0.457164,    0.242824
   0.985213,    0.278741
   1.511003,    0.314505
   2.043913,    0.350753
   2.594819,    0.388224
   3.148853,    0.425909
   3.706137,    0.463815
   4.270637,    0.502211
   4.874405,    0.543279
   5.559744,    0.589895
   6.349687,    0.643625
   7.245279,    0.704542
   8.225998,    0.771250
   9.250886,    0.840961
  10.260118,    0.909612
  11.176435,    0.972178
  11.905492,    1.022359
