Time, Heading Angle
   0.000000,    0.000000
   0.500000,    0.000000
   1.000000,    0.000000
   1.500000,    0.000000
   2.000000,    0.000000
   2.500000,    0.000000
   3.000000,    0.000000
   3.500000,    0.000000
   4.000000,    0.000000
   4.500000,    0.000000
   5.000000,    0.000000
   5.500000,    0.000000
   6.000000,    0.000000
   6.500000,    0.000000
   7.000000,    0.000000
   7.500000,    0.000000
   8.000000,    0.000000
   8.500000,    0.000000
   9.000000,    0.000000
   9.500000,    0.000000
  10.000000,    0.000000
  10.500000,    0.000000
  11.000000,    0.000000
  11.500000,    0.000000
  12.000000,    0.000000
  12.500000,    0.000000
  13.000000,    0.000000
  13.500000,    0.000000
  14.000000,    0.000000
  14.500000,    0.000000
  15.000000,    0.000000
  15.500000,    0.417583
  16.000000,    1.079577
  16.500000,    1.757335
  17.000000,    2.412770
  17.500000,    3.030087
  18.000000,    3.602927
  18.500000,    4.130708
  19.000000,    4.616206
  19.500000,    5.063870
  20.000000,    5.478719
  20.500000,    5.865653
  21.000000,    6.229074
  21.500000,    6.572708
  22.000000,    6.899560
  22.500000,    7.211963
  23.000000,    7.511657
  23.500000,    7.799902
  24.000000,    8.077586
  24.500000,    8.345323
  25.000000,    8.603541
  25.500000,    8.852550
  26.000000,    9.092591
  26.500000,    9.323874
  27.000000,    9.546600
  27.500000,    9.760976
  28.000000,    9.967221
  28.500000,   10.165564
  29.000000,   10.356248
  29.500000,   10.539524
  30.000000,   10.715647
  30.500000,   10.884875
  31.000000,   11.047463
  31.500000,   11.203661
  32.000000,   11.353715
  32.500000,   11.497862
  33.000000,   11.636330
  33.500000,   11.769343
  34.000000,   11.897111
  34.500000,   12.019838
  35.000000,   12.137722
  35.500000,   12.250950
  36.000000,   12.359704
  36.500000,   12.464157
  37.000000,   12.564476
  37.500000,   12.660823
  38.000000,   12.753352
  38.500000,   12.842212
  39.000000,   12.927547
  39.500000,   13.009495
  40.000000,   13.088188
  40.500000,   13.163755
  41.000000,   13.236319
  41.500000,   13.305998
  42.000000,   13.372905
  42.500000,   13.437152
  43.000000,   13.498842
  43.500000,   13.558078
  44.000000,   13.614957
  44.500000,   13.669572
  45.000000,   13.722013
  45.500000,   13.772368
  46.000000,   13.820719
  46.500000,   13.867145
  47.000000,   13.911724
  47.500000,   13.954530
  48.000000,   13.995633
  48.500000,   14.035102
  49.000000,   14.073001
  49.500000,   14.109394
  50.000000,   14.144340
  50.500000,   14.177898
  51.000000,   14.210123
  51.500000,   14.241069
  52.000000,   14.270787
  52.500000,   14.299325
  53.000000,   14.326732
  53.500000,   14.353052
  54.000000,   14.378329
  54.500000,   14.402605
  55.000000,   14.425920
  55.500000,   14.448312
  56.000000,   14.469819
  56.500000,   14.490475
  57.000000,   14.510316
  57.500000,   14.529372
  58.000000,   14.547677
  58.500000,   14.565259
  59.000000,   14.582149
  59.500000,   14.598372
  60.000000,   14.613957
  60.500000,   14.628929
  61.000000,   14.643311
  61.500000,   14.657128
  62.000000,   14.670402
  62.500000,   14.683155
  63.000000,   14.695408
  63.500000,   14.707180
  64.000000,   14.718491
  64.500000,   14.729358
  65.000000,   14.739800
  65.500000,   14.749834
  66.000000,   14.759475
  66.500000,   14.768740
  67.000000,   14.777643
  67.500000,   14.786199
  68.000000,   14.794421
  68.500000,   14.802322
  69.000000,   14.809916
  69.500000,   14.817214
  70.000000,   14.824228
  70.500000,   14.830970
  71.000000,   14.837449
  71.500000,   14.843677
  72.000000,   14.849664
  72.500000,   14.855418
  73.000000,   14.860949
  73.500000,   14.866266
  74.000000,   14.871378
  74.500000,   14.876291
  75.000000,   14.881015
  75.500000,   14.885556
  76.000000,   14.889922
  76.500000,   14.894119
  77.000000,   14.898154
  77.500000,   14.902034
  78.000000,   14.905764
  78.500000,   14.909351
  79.000000,   14.912800
  79.500000,   14.916116
  80.000000,   14.919305
  80.500000,   14.922371
  81.000000,   14.925319
  81.500000,   14.928155
  82.000000,   14.930881
  82.500000,   14.933503
  83.000000,   14.936025
  83.500000,   14.938450
  84.000000,   14.940782
  84.500000,   14.943025
  85.000000,   14.945183
  85.500000,   14.947012
  86.000000,   14.948486
  86.500000,   14.949800
  87.000000,   14.951048
  87.500000,   14.952289
  88.000000,   14.953552
  88.500000,   14.954848
  89.000000,   14.956176
  89.500000,   14.957526
  90.000000,   14.958887
  90.500000,   14.960245
  91.000000,   14.961589
  91.500000,   14.962910
  92.000000,   14.964199
  92.500000,   14.965452
  93.000000,   14.966665
  93.500000,   14.967837
  94.000000,   14.968967
  94.500000,   14.970056
  95.000000,   14.971104
  95.500000,   14.972113
  96.000000,   14.973085
  96.500000,   14.974022
  97.000000,   14.974924
  97.500000,   14.975793
  98.000000,   14.976632
  98.500000,   14.977440
  99.000000,   14.978221
  99.500000,   14.978974
 100.000000,   14.979701
 100.500000,   14.980402
 101.000000,   14.981080
 101.500000,   14.981734
 102.000000,   14.982365
 102.500000,   14.982975
 103.000000,   14.983564
 103.500000,   14.984133
 104.000000,   14.984682
 104.500000,   14.985212
 105.000000,   14.985724
 105.500000,   14.986219
 106.000000,   14.986696
 106.500000,   14.987158
 107.000000,   14.987603
 107.500000,   14.988033
 108.000000,   14.988448
 108.500000,   14.988850
