Time, Heading Angle
 109.000000,   14.989237
 109.500000,   14.989611
 110.000000,   14.989972
 110.500000,   14.990321
 111.000000,   14.990658
 111.500000,   14.990983
 112.000000,   14.991298
 112.500000,   14.991601
 113.000000,   14.991894
 113.500000,   14.992177
 114.000000,   14.992450
 114.500000,   14.992714
 115.000000,   14.992969
 115.500000,   14.993215
 116.000000,   14.993453
 116.500000,   14.993682
 117.000000,   14.993904
 117.500000,   14.994118
 118.000000,   14.994324
 118.500000,   14.994524
 119.000000,   14.994716
 119.500000,   14.994902
 120.000000,   14.995081
 120.500000,   14.995255
 121.000000,   14.995422
 121.500000,   14.995584
 122.000000,   14.995739
 122.500000,   14.995890
 123.000000,   14.996035
 123.500000,   14.996176
 124.000000,   14.996311
 124.500000,   14.996442
 125.000000,   14.996568
 125.500000,   14.996690
 126.000000,   14.996807
 126.500000,   14.996921
 127.000000,   14.997030
 127.500000,   14.997136
 128.000000,   14.997238
 128.500000,   14.997336
 129.000000,   14.997431
 129.500000,   14.997523
 130.000000,   14.997611
 130.500000,   14.997697
 131.000000,   14.997779
 131.500000,   14.997858
 132.000000,   14.997935
 132.500000,   14.998009
 133.000000,   14.998080
 133.500000,   14.998149
 134.000000,   14.998216
 134.500000,   14.998280
 135.000000,   14.998341
 135.500000,   14.998401
 136.000000,   14.998459
 136.500000,   14.998514
 137.000000,   14.998568
 137.500000,   14.998619
 138.000000,   14.998669
 138.500000,   14.998717
 139.000000,   14.998763
 139.500000,   14.998808
 140.000000,   14.998851
 140.500000,   14.998893
 141.000000,   14.998933
 141.500000,   14.998972
 142.000000,   14.999009
 142.500000,   14.999045
 143.000000,   14.999079
 143.500000,   14.999113
 144.000000,   14.999145
 144.500000,   14.999176
 145.000000,   14.999206
 145.500000,   14.999235
 146.000000,   14.999263
 146.500000,   14.999290
 147.000000,   14.999316
 147.500000,   14.999340
 148.000000,   14.999365
 148.500000,   14.999388
 149.000000,   14.999410
 149.500000,   14.999432
 150.000000,   14.999452
 150.500000,   14.999472
 151.000000,   14.999492
 151.500000,   14.999510
 152.000000,   14.999528
 152.500000,   14.999545
 153.000000,   14.999562
 153.500000,   14.999578
 154.000000,   14.999594
 154.500000,   14.999609
 155.000000,   14.999623
 155.500000,   14.999637
 156.000000,   14.999650
 156.500000,   14.999663
 157.000000,   14.999675
 157.500000,   14.999687
 158.000000,   14.999699
 158.500000,   14.999710
 159.000000,   14.999720
 159.500000,   14.999731
 160.000000,   14.999741
 160.500000,   14.999750
 161.000000,   14.999759
 161.500000,   14.999768
 162.000000,   14.999777
 162.500000,   14.999785
 163.000000,   14.999793
 163.500000,   14.999801
 164.000000,   14.999808
 164.500000,   14.999815
 165.000000,   14.999822
 165.500000,   14.999828
 166.000000,   14.999835
 166.500000,   14.999841
 167.000000,   14.999847
 167.500000,   14.999852
 168.000000,   14.999858
 168.500000,   14.999863
 169.000000,   14.999868
 169.500000,   14.999873
 170.000000,   14.999878
 170.500000,   14.999882
 171.000000,   14.999887
 171.500000,   14.999891
 172.000000,   14.999895
 172.500000,   14.999899
 173.000000,   14.999903
 173.500000,   14.999906
 174.000000,   14.999910
 174.500000,   14.999913
 175.000000,   14.999916
 175.500000,   14.999919
 176.000000,   14.999922
 176.500000,   14.999925
 177.000000,   14.999928
 177.500000,   14.999931
 178.000000,   14.999933
 178.500000,   14.999936
 179.000000,   14.999938
 179.500000,   14.999940
 180.000000,   14.999943
