CLh_e, CDh_e
  -0.338079,    0.006455
  -0.308105,    0.006280
  -0.278941,    0.006121
  -0.250583,    0.005985
  -0.223031,    0.005861
  -0.196210,    0.005770
  -0.170150,    0.005688
  -0.144891,    0.005638
  -0.118591,    0.005597
  -0.094559,    0.005596
  -0.071309,    0.005674
  -0.048785,    0.005771
  -0.027028,    0.005885
  -0.006064,    0.006015
   0.014107,    0.006249
   0.033482,    0.006499
   0.052132,    0.006776
   0.070043,    0.007064
   0.087192,    0.007469
   0.103561,    0.007895
   0.119155,    0.008342
   0.134008,    0.008845
   0.148475,    0.009515
   0.163305,    0.010220
   0.179198,    0.011777
   0.196655,    0.017012
   0.215810,    0.017662
