CLh_e, CDh_e
  -0.596887,    0.006558
  -0.538717,    0.006372
  -0.481228,    0.006203
  -0.424366,    0.006048
  -0.368213,    0.005913
  -0.312809,    0.005810
  -0.258117,    0.005730
  -0.204061,    0.005660
  -0.150732,    0.005621
  -0.096136,    0.005590
  -0.043934,    0.005577
   0.007618,    0.005577
   0.058439,    0.005590
   0.108496,    0.005618
   0.157821,    0.005656
   0.206490,    0.005719
   0.254419,    0.005792
   0.301587,    0.005883
   0.348031,    0.005980
   0.393812,    0.006093
   0.438858,    0.006212
   0.483145,    0.006347
   0.526727,    0.006489
   0.569625,    0.006650
   0.610777,    0.006822
   0.648216,    0.007014
   0.680970,    0.007228
   0.709007,    0.007474
   0.733045,    0.007772
   0.754540,    0.008276
   0.775259,    0.008884
   0.793356,    0.009648
   0.811827,    0.010566
   0.836661,    0.011550
