CLh_e, CDh_e
  -0.337537,    0.006455
  -0.307634,    0.006280
  -0.278541,    0.006121
  -0.250254,    0.005985
  -0.222773,    0.005861
  -0.196023,    0.005770
  -0.170034,    0.005688
  -0.144846,    0.005638
  -0.118616,    0.005597
  -0.094654,    0.005596
  -0.071474,    0.005674
  -0.049020,    0.005771
  -0.027333,    0.005886
  -0.006439,    0.006016
   0.013663,    0.006252
   0.032969,    0.006502
   0.051551,    0.006779
   0.069394,    0.007067
   0.086474,    0.007476
   0.102775,    0.007902
   0.118302,    0.008350
   0.133087,    0.008859
   0.147491,    0.009530
   0.162269,    0.010236
   0.178123,    0.011843
   0.195556,    0.017110
   0.214700,    0.017662
