CLh_e, CDh_e
  -0.491340,    0.006455
  -0.441210,    0.006280
  -0.391914,    0.006121
  -0.343456,    0.005985
  -0.295839,    0.005861
  -0.248994,    0.005770
  -0.202952,    0.005688
  -0.157758,    0.005638
  -0.111503,    0.005597
  -0.067625,    0.005580
  -0.024584,    0.005578
   0.017677,    0.005595
   0.059112,    0.005643
   0.099693,    0.005718
   0.139417,    0.005814
   0.178279,    0.005924
   0.216356,    0.006059
   0.253630,    0.006205
   0.290076,    0.006373
   0.325672,    0.006550
   0.360423,    0.006746
   0.394336,    0.006952
   0.426725,    0.007183
   0.456450,    0.007474
   0.483165,    0.007866
   0.507261,    0.008330
   0.529666,    0.009002
   0.551682,    0.009981
   0.571396,    0.011136
   0.587800,    0.012801
   0.606106,    0.019004
