CLh_e, CDh_e
  -0.592472,    0.006555
  -0.529041,    0.006348
  -0.466462,    0.006159
  -0.404739,    0.005996
  -0.343883,    0.005861
  -0.283824,    0.005770
  -0.224597,    0.005688
  -0.166248,    0.005638
  -0.106826,    0.005597
  -0.049852,    0.005580
   0.006248,    0.005578
   0.061533,    0.005595
   0.115953,    0.005630
   0.169479,    0.005678
   0.222106,    0.005748
   0.273827,    0.005830
   0.324722,    0.005936
   0.374774,    0.006053
   0.423953,    0.006190
   0.472237,    0.006336
   0.519629,    0.006499
   0.566119,    0.006671
   0.610333,    0.006863
   0.649887,    0.007072
   0.683744,    0.007321
   0.712221,    0.007605
   0.736769,    0.008083
   0.759797,    0.008719
   0.780648,    0.009527
   0.800161,    0.010532
   0.826673,    0.011646
