CLh_e, CDh_e
  -0.339847,    0.006444
  -0.312413,    0.006288
  -0.285623,    0.006148
  -0.259417,    0.006021
  -0.233873,    0.005911
  -0.209025,    0.005810
  -0.184831,    0.005730
  -0.161213,    0.005660
  -0.138255,    0.005621
  -0.114079,    0.005590
  -0.092124,    0.005600
  -0.070747,    0.005671
  -0.050023,    0.005756
  -0.029977,    0.005857
  -0.010579,    0.005968
   0.008241,    0.006151
   0.026410,    0.006376
   0.043913,    0.006619
   0.060782,    0.006870
   0.077070,    0.007148
   0.092719,    0.007518
   0.107709,    0.007907
   0.122085,    0.008305
   0.135884,    0.008733
   0.149260,    0.009332
   0.162746,    0.009973
   0.176940,    0.010661
   0.192311,    0.014972
   0.209051,    0.017432
