CLh_e, CDh_e
  -0.593321,    0.006557
  -0.529778,    0.006350
  -0.467087,    0.006161
  -0.405254,    0.005997
  -0.344286,    0.005861
  -0.284117,    0.005770
  -0.224779,    0.005688
  -0.166319,    0.005638
  -0.106787,    0.005597
  -0.049703,    0.005580
   0.006507,    0.005578
   0.061901,    0.005595
   0.116430,    0.005630
   0.170065,    0.005678
   0.222800,    0.005748
   0.274629,    0.005830
   0.325632,    0.005936
   0.375791,    0.006053
   0.425077,    0.006190
   0.473467,    0.006336
   0.520965,    0.006499
   0.567562,    0.006671
   0.611874,    0.006863
   0.651511,    0.007072
   0.685428,    0.007321
   0.713942,    0.007605
   0.738508,    0.008078
   0.761544,    0.008714
   0.782405,    0.009517
   0.801944,    0.010522
   0.828525,    0.011629
