CLh_e, CDh_e
  -0.493960,    0.006444
  -0.448098,    0.006288
  -0.402901,    0.006148
  -0.358315,    0.006021
  -0.314419,    0.005911
  -0.271250,    0.005810
  -0.228771,    0.005730
  -0.186903,    0.005660
  -0.145736,    0.005621
  -0.103321,    0.005590
  -0.063231,    0.005577
  -0.023762,    0.005577
   0.015007,    0.005590
   0.053047,    0.005623
   0.090388,    0.005684
   0.127104,    0.005770
   0.163117,    0.005867
   0.198406,    0.005983
   0.233007,    0.006105
   0.266978,    0.006244
   0.300253,    0.006390
   0.332808,    0.006553
   0.364695,    0.006724
   0.395941,    0.006915
   0.425971,    0.007119
   0.453818,    0.007356
   0.479140,    0.007686
   0.502105,    0.008081
   0.523221,    0.008577
   0.543323,    0.009280
   0.563191,    0.010226
   0.580060,    0.011341
   0.595192,    0.012863
   0.612173,    0.018458
