CLh_e, CDh_e
  -0.310157,    0.006455
  -0.284570,    0.006280
  -0.259646,    0.006121
  -0.235388,    0.005985
  -0.211795,    0.005861
  -0.188810,    0.005770
  -0.166459,    0.005688
  -0.144776,    0.005638
  -0.121934,    0.005597
  -0.101221,    0.005615
  -0.081166,    0.005702
  -0.061724,    0.005807
  -0.042930,    0.005930
  -0.024807,    0.006120
  -0.007356,    0.006372
   0.009421,    0.006637
   0.025580,    0.006928
   0.041109,    0.007321
   0.055988,    0.007757
   0.070202,    0.008203
   0.083756,    0.008738
   0.096680,    0.009408
   0.109431,    0.010104
   0.122923,    0.011805
   0.137900,    0.016981
