CLh_e, CDh_e
  -0.491650,    0.006455
  -0.441479,    0.006280
  -0.392143,    0.006121
  -0.343644,    0.005985
  -0.295986,    0.005861
  -0.249101,    0.005770
  -0.203019,    0.005688
  -0.157784,    0.005638
  -0.111489,    0.005597
  -0.067571,    0.005580
  -0.024489,    0.005578
   0.017811,    0.005595
   0.059286,    0.005643
   0.099907,    0.005717
   0.139671,    0.005814
   0.178573,    0.005923
   0.216689,    0.006058
   0.254002,    0.006204
   0.290487,    0.006372
   0.326122,    0.006549
   0.360912,    0.006745
   0.394864,    0.006951
   0.427289,    0.007181
   0.457044,    0.007471
   0.483781,    0.007863
   0.507891,    0.008327
   0.530302,    0.008998
   0.552321,    0.009975
   0.572039,    0.011126
   0.588453,    0.012791
   0.606784,    0.018944
