CLh_e, CDh_e
  -0.362961,    0.006444
  -0.333409,    0.006288
  -0.304391,    0.006148
  -0.275862,    0.006021
  -0.247889,    0.005911
  -0.220504,    0.005810
  -0.193675,    0.005730
  -0.167337,    0.005660
  -0.141565,    0.005621
  -0.114466,    0.005590
  -0.089506,    0.005593
  -0.065049,    0.005655
  -0.041157,    0.005731
  -0.017854,    0.005822
   0.004884,    0.005924
   0.027115,    0.006051
   0.048777,    0.006247
   0.069854,    0.006470
   0.090374,    0.006700
   0.110381,    0.006946
   0.129825,    0.007200
   0.148687,    0.007529
   0.167007,    0.007890
   0.184812,    0.008273
   0.202100,    0.008670
   0.219043,    0.009124
   0.235974,    0.009771
   0.253227,    0.010494
   0.271022,    0.011822
