alpha body, Efficiency
 -10.000000,   -0.796180
  -9.090909,    0.747442
  -8.181818,    2.504868
  -7.272727,    4.459317
  -6.363636,    6.585140
  -5.454545,    8.820477
  -4.545455,   11.028582
  -3.636364,   13.122978
  -2.727273,   15.027849
  -1.818182,   16.670858
  -0.909091,   17.962405
  -0.000000,   18.864604
   0.909091,   19.380333
   1.818182,   19.580519
   2.727273,   19.519347
   3.636364,   19.255590
   4.545455,   18.819351
   5.454545,   18.245524
   6.363636,   17.601433
   7.272727,   16.930226
   8.181818,   16.243604
   9.090909,   15.540531
  10.000000,   14.801203
  10.909091,   14.026216
  11.818182,   13.174154
