alpha body, Efficiency
 -10.000000,   -0.782774
  -9.000000,    0.902066
  -8.000000,    2.845699
  -7.000000,    5.013368
  -6.000000,    7.359038
  -5.000000,    9.789597
  -4.000000,   12.168125
  -3.000000,   14.311101
  -2.000000,   16.142100
  -1.000000,   17.567008
   0.000000,   18.553209
   1.000000,   19.110658
   2.000000,   19.313343
   3.000000,   19.199416
   4.000000,   18.816759
   5.000000,   18.252058
   6.000000,   17.584163
   7.000000,   16.857205
   8.000000,   16.051457
   9.000000,   15.226072
