alpha body, Efficiency
 -10.000000,   -0.809950
  -9.000000,    0.952912
  -8.000000,    2.985925
  -7.000000,    5.252556
  -6.000000,    7.704509
  -5.000000,   10.246760
  -4.000000,   12.736707
  -3.000000,   14.981057
  -2.000000,   16.899277
  -1.000000,   18.399161
   0.000000,   19.439849
   1.000000,   20.029796
   2.000000,   20.249496
   3.000000,   20.138430
   4.000000,   19.740029
   5.000000,   19.150934
   6.000000,   18.457126
   7.000000,   17.697789
   8.000000,   16.915504
   9.000000,   16.121294
  10.000000,   15.296280
  11.000000,   14.422664
  12.000000,   13.506117
  13.000000,   12.565606
  14.000000,   11.620286
  15.000000,   10.690446
  16.000000,    9.793215
  17.000000,    8.946445
  18.000000,    8.164669
  19.000000,    7.464327
