alpha body, Efficiency
 -10.000000,   -0.835224
  -9.090909,    0.798716
  -8.181818,    2.658495
  -7.272727,    4.726231
  -6.363636,    6.974656
  -5.454545,    9.338203
  -4.545455,   11.672342
  -3.636364,   13.889102
  -2.727273,   15.905734
  -1.818182,   17.645275
  -0.909091,   19.012984
  -0.000000,   19.968160
   0.909091,   20.518867
   1.818182,   20.734167
   2.727273,   20.671239
   3.636364,   20.392360
   4.545455,   19.931446
   5.454545,   19.325894
   6.363636,   18.644255
   7.272727,   17.932653
   8.181818,   17.205198
   9.090909,   16.462482
  10.000000,   15.679931
  10.909091,   14.860097
  11.818182,   14.013048
  12.727273,   13.149434
  13.636364,   12.274370
  14.545455,   11.399525
  15.454545,   10.543089
  16.363636,    9.723452
  17.272727,    8.953607
  18.181818,    8.243470
  19.090909,    7.640146
  20.000000,    7.250388
