alpha body, Efficiency
 -10.000000,   -0.832733
  -9.000000,    0.972451
  -8.000000,    3.054378
  -7.000000,    5.375637
  -6.000000,    7.886754
  -5.000000,   10.490400
  -4.000000,   13.040515
  -3.000000,   15.339125
  -2.000000,   17.303717
  -1.000000,   18.839835
   0.000000,   19.905620
   1.000000,   20.509722
   2.000000,   20.734572
   3.000000,   20.620852
   4.000000,   20.214795
   5.000000,   19.612940
   6.000000,   18.903381
   7.000000,   18.126311
   8.000000,   17.325415
   9.000000,   16.512069
  10.000000,   15.667050
  11.000000,   14.773186
  12.000000,   13.835405
  13.000000,   12.872954
  14.000000,   11.905520
  15.000000,   10.954606
  16.000000,   10.037353
  17.000000,    9.172073
  18.000000,    8.373614
  19.000000,    7.683426
  20.000000,    7.243799
