alpha body, Efficiency
 -10.000000,   -0.809880
  -9.000000,    0.952853
  -8.000000,    2.985717
  -7.000000,    5.252182
  -6.000000,    7.703954
  -5.000000,   10.246017
  -4.000000,   12.735781
  -3.000000,   14.979964
  -2.000000,   16.898043
  -1.000000,   18.397816
   0.000000,   19.438427
   1.000000,   20.028331
   2.000000,   20.248015
   3.000000,   20.136873
   4.000000,   19.738505
   5.000000,   19.149459
   6.000000,   18.455708
   7.000000,   17.696434
   8.000000,   16.914213
   9.000000,   16.120068
  10.000000,   15.295121
  11.000000,   14.421531
  12.000000,   13.505063
  13.000000,   12.564632
  14.000000,   11.619391
  15.000000,   10.689599
  16.000000,    9.792445
  17.000000,    8.945713
  18.000000,    8.163782
  19.000000,    7.463790
