alpha body, Efficiency
 -10.000000,    0.917462
  -9.090909,    1.424958
  -8.181818,    1.938036
  -7.272727,    2.456264
  -6.363636,    2.979116
  -5.454545,    3.505729
  -4.545455,    4.035174
  -3.636364,    4.566510
  -2.727273,    5.098077
  -1.818182,    5.636571
  -0.909091,    6.157918
  -0.000000,    6.674662
   0.909091,    7.185213
   1.818182,    7.687134
   2.727273,    8.178411
   3.636364,    8.657179
   4.545455,    9.121688
   5.454545,    9.569858
   6.363636,    9.999326
   7.272727,   10.407058
   8.181818,   10.792807
   9.090909,   11.155211
  10.000000,   11.492957
  10.909091,   11.801844
  11.818182,   12.069222
  12.727273,   12.261498
  13.636364,   12.396694
  14.545455,   12.470804
