alpha body, Efficiency
 -10.000000,    0.976962
  -9.090909,    1.454734
  -8.181818,    1.936264
  -7.272727,    2.420937
  -6.363636,    2.908385
  -5.454545,    3.397273
  -4.545455,    3.886935
  -3.636364,    4.376058
  -2.727273,    4.863329
  -1.818182,    5.354381
  -0.909091,    5.825120
  -0.000000,    6.257209
   0.909091,    6.708593
