eta, Cl_basic
   0.000000,    0.343016
   0.020408,    0.345634
   0.040816,    0.350580
   0.061224,    0.355200
   0.081633,    0.359544
   0.102041,    0.363642
   0.122449,    0.367515
   0.142857,    0.371176
   0.163265,    0.374635
   0.183673,    0.377896
   0.204082,    0.380960
   0.224490,    0.383823
   0.244898,    0.386476
   0.265306,    0.388905
   0.285714,    0.390953
   0.306122,    0.391825
   0.326531,    0.390744
   0.346939,    0.388947
   0.367347,    0.386790
   0.387755,    0.384307
   0.408163,    0.381522
   0.428571,    0.378453
   0.448980,    0.375114
   0.469388,    0.371519
   0.489796,    0.367675
   0.510204,    0.363589
   0.530612,    0.359263
   0.551020,    0.354705
   0.571429,    0.349913
   0.591837,    0.344885
   0.612245,    0.339617
   0.632653,    0.334102
   0.653061,    0.328326
   0.673469,    0.322276
   0.693878,    0.315929
   0.714286,    0.309257
   0.734694,    0.302225
   0.755102,    0.294784
   0.775510,    0.286871
   0.795918,    0.278404
   0.816327,    0.269270
   0.836735,    0.259318
   0.857143,    0.248335
   0.877551,    0.236019
   0.897959,    0.221922
   0.918367,    0.205345
   0.938776,    0.185124
   0.959184,    0.159080
   0.979592,    0.122080
   1.000000,    0.000000
