Mach, Rate of Climb
   0.221604, -435.490804
   0.224012, -365.917900
   0.226420, -289.185851
   0.228828, -232.739437
   0.231236, -200.603064
   0.233644, -170.121130
   0.236052, -145.865348
   0.238460, -127.959718
   0.240868, -109.359226
   0.243276,  -93.411716
   0.245685,  -79.889116
   0.248093,  -65.260532
   0.250501,  -50.094336
   0.252909,  -39.295384
   0.255317,  -28.184811
   0.257725,  -16.665010
   0.260133,   -5.051537
   0.262541,    2.646112
   0.264949,   10.637243
   0.267357,   18.925988
   0.269765,   27.516477
   0.272173,   33.633795
   0.274581,   38.544720
   0.276989,   43.654245
   0.279397,   49.389526
   0.281805,   55.956430
   0.284213,   59.974482
   0.286621,   62.575258
   0.289029,   65.294565
   0.291437,   68.134519
   0.293845,   71.097234
   0.296253,   74.184827
   0.298661,   73.278636
   0.301069,   71.678439
   0.303477,   70.088611
   0.305885,   68.510279
   0.308294,   66.944571
   0.310702,   65.392615
   0.313110,   63.775688
   0.315518,   58.835638
   0.317926,   53.825241
   0.320334,   48.744831
   0.322742,   43.594743
   0.325150,   38.375311
   0.327558,   33.086869
   0.329966,   27.729750
   0.332374,   22.273004
   0.334782,   12.759138
   0.337190,    3.088839
   0.339598,   -6.738208
   0.342006,  -16.722319
   0.344414,  -26.863813
   0.346822,  -36.997460
   0.349230,  -46.446983
   0.351638,  -56.040700
   0.354046,  -65.778926
   0.356454,  -76.314104
   0.358862,  -90.478842
   0.361270, -104.874015
   0.363678, -119.500520
   0.366086, -134.359254
   0.368495, -149.451114
   0.370903, -164.776997
   0.373311, -180.337800
   0.375719, -196.134421
   0.378127, -212.167756
   0.380535, -228.403765
   0.382943, -244.117303
   0.385351, -260.060072
   0.387759, -279.880627
   0.390167, -301.083842
   0.392575, -322.609165
   0.394983, -344.458057
   0.397391, -366.631982
   0.399799, -389.132404
   0.402207, -411.960785
   0.404615, -435.118587
   0.407023, -458.607275
   0.409431, -482.428311
   0.411839, -506.583159
   0.414247, -531.073280
   0.416655, -555.357330
   0.419063, -579.927491
   0.421471, -604.830409
   0.423879, -630.067548
   0.426287, -657.810897
   0.428695, -687.837988
   0.431104, -718.274103
   0.433512, -749.121106
   0.435920, -780.380862
   0.438328, -812.055236
   0.440736, -844.146091
   0.443144, -876.655292
   0.445552, -909.584704
   0.447960, -942.936191
   0.450368, -976.669088
   0.452776, -1010.816724
   0.455184, -1045.391454
   0.457592, -1080.395140
   0.460000, -1115.829649
