Ground Distance, Emission NOx
   0.000000,    0.003213
   0.016116,    3.213754
   0.176836,    6.433746
   0.355385,    9.654506
   0.533935,   12.875266
   0.712485,   16.096026
   0.891034,   19.316786
   1.069584,   22.537546
   1.248134,   25.758306
   1.426683,   28.979066
   1.605233,   32.199826
   1.783783,   35.420586
   2.219764,   38.651867
   2.687889,   41.884461
   3.156013,   45.117055
   3.624138,   48.349649
   4.092263,   51.582243
   4.560387,   54.814837
   5.028512,   58.047431
   5.496636,   61.280025
   5.964761,   64.512619
   6.432886,   67.745213
   7.155287,   70.987384
   7.909438,   74.230751
   8.663588,   77.474118
   9.417739,   80.717484
  10.171889,   83.960851
  10.926040,   87.204218
  11.680190,   90.447585
  12.434341,   93.690951
  13.188491,   96.934318
  13.942642,  100.177685
  14.947894,  103.429710
  15.984500,  106.682816
  17.021105,  109.935922
  18.057710,  113.189028
  19.094315,  116.442134
  20.130920,  119.695240
  21.167526,  122.948346
  22.204131,  126.201452
  23.240736,  129.454558
  24.277341,  132.707664
  25.561857,  135.968534
  26.877326,  139.230374
  28.192795,  142.492214
  29.508265,  145.754054
  30.823734,  149.015894
  32.139203,  152.277734
  33.454673,  155.539574
  34.770142,  158.801414
  36.085611,  162.063254
  37.401081,  165.325093
  38.961253,  168.593829
  40.551979,  171.863426
  42.142706,  175.133023
  43.733432,  178.402620
  45.324158,  181.672217
  46.914884,  184.941813
  48.505610,  188.211410
  50.096336,  191.481007
  51.687062,  194.750604
  53.277789,  198.020201
  55.109999,  201.295850
  56.972360,  204.572255
  58.834722,  207.848661
  60.697083,  211.125066
  62.559445,  214.401471
  64.421807,  217.677876
  66.284168,  220.954282
  68.146530,  224.230687
  70.008891,  227.507092
  71.871253,  230.783497
  73.971869,  234.065137
  76.102233,  237.347431
  78.232597,  240.629725
  80.362961,  243.912019
  82.493325,  247.194313
  84.623690,  250.476606
  86.754054,  253.758900
  88.884418,  257.041194
  91.014782,  260.323488
  93.145146,  263.605781
  95.510527,  266.892518
  97.905252,  270.179809
 100.299976,  273.467100
 102.694701,  276.754392
 105.089426,  280.041683
 107.484151,  283.328974
 109.878875,  286.616265
 112.273600,  289.903556
 114.668325,  293.190848
 117.063050,  296.478139
 119.689548,  299.769106
 122.344985,  303.060532
 125.000422,  306.351959
 127.655859,  309.643385
 130.311296,  312.934811
 132.966733,  316.226237
 135.622170,  319.517664
 138.277607,  322.809090
 140.933044,  326.100516
 143.588481,  329.391942
 146.472444,  332.686304
 149.384941,  335.981031
 152.297438,  339.275759
 155.209934,  342.570487
 158.122431,  345.865214
 161.034928,  349.159942
 163.947425,  352.454670
 166.859921,  355.749397
 169.772418,  359.044125
 172.684915,  362.338853
 175.822689,  365.635800
 178.988591,  368.933024
 182.154493,  372.230248
 185.320395,  375.527472
 188.486298,  378.824696
 191.652200,  382.121920
 194.818102,  385.419144
 197.984004,  388.716368
 201.149906,  392.013592
