Ground Distance, Mach number
   0.000000,    0.000001
   0.050435,    0.000822
   0.553755,    0.001640
   1.112916,    0.002458
   1.672076,    0.003276
   2.231237,    0.004093
   2.790397,    0.004911
   3.349558,    0.005728
   3.908718,    0.006546
   4.467879,    0.007364
   5.027040,    0.008181
   5.586200,    0.008999
   6.952679,    0.009809
   8.419959,    0.010618
   9.887239,    0.011427
  11.354518,    0.012236
  12.821798,    0.013045
  14.289078,    0.013855
  15.756358,    0.014664
  17.223638,    0.015473
  18.690918,    0.016282
  20.158198,    0.017091
  22.424280,    0.017893
  24.790100,    0.018693
  27.155921,    0.019493
  29.521741,    0.020294
  31.887561,    0.021094
  34.253382,    0.021895
  36.619202,    0.022695
  38.985022,    0.023496
  41.350842,    0.024296
  43.716663,    0.025097
  46.872517,    0.025889
  50.127015,    0.026681
  53.381512,    0.027472
  56.636010,    0.028264
  59.890507,    0.029055
  63.145005,    0.029847
  66.399502,    0.030638
  69.654000,    0.031429
  72.908497,    0.032221
  76.162995,    0.033012
  80.198519,    0.033796
  84.331562,    0.034578
  88.464605,    0.035360
  92.597648,    0.036143
  96.730691,    0.036925
 100.863734,    0.037707
 104.996777,    0.038490
 109.129820,    0.039272
 113.262862,    0.040054
 117.395905,    0.040836
 122.300743,    0.041610
 127.301948,    0.042383
 132.303152,    0.043156
 137.304356,    0.043929
 142.305560,    0.044702
 147.306764,    0.045475
 152.307968,    0.046248
 157.309172,    0.047021
 162.310376,    0.047793
 167.311580,    0.048566
 173.074813,    0.049330
 178.933193,    0.050092
 184.791573,    0.050854
 190.649954,    0.051616
 196.508334,    0.052378
 202.366714,    0.053140
 208.225094,    0.053902
 214.083474,    0.054664
 219.941854,    0.055426
 225.800234,    0.056189
 232.408500,    0.056939
 239.110397,    0.057688
 245.812293,    0.058437
 252.514190,    0.059186
 259.216086,    0.059935
 265.917982,    0.060683
 272.619879,    0.061432
 279.321775,    0.062181
 286.023672,    0.062930
 292.725568,    0.063679
 300.164186,    0.064416
 307.694790,    0.065152
 315.225394,    0.065887
 322.755998,    0.066623
 330.286603,    0.067359
 337.817207,    0.068094
 345.347811,    0.068830
 352.878415,    0.069566
 360.409020,    0.070301
 367.939624,    0.071037
 376.193726,    0.071761
 384.538164,    0.072483
 392.882602,    0.073205
 401.227039,    0.073927
 409.571477,    0.074650
 417.915915,    0.075372
 426.260353,    0.076094
 434.604791,    0.076816
 442.949228,    0.077539
 451.293666,    0.078261
 460.348337,    0.078971
 469.491687,    0.079680
 478.635037,    0.080389
 487.778387,    0.081098
 496.921738,    0.081807
 506.065088,    0.082516
 515.208438,    0.083225
 524.351788,    0.083934
 533.495138,    0.084642
 542.638488,    0.085351
 552.478781,    0.086048
 562.406093,    0.086744
 572.333406,    0.087439
 582.260718,    0.088135
 592.188030,    0.088830
 602.115343,    0.089526
 612.042655,    0.090221
 621.969968,    0.090917
 631.897280,    0.091612
 641.824593,    0.092308
 652.435547,    0.092991
 663.131860,    0.093673
 673.828173,    0.094356
 684.524487,    0.095038
 695.220800,    0.095720
 705.917114,    0.096402
