eta, Ccl
   0.000000,    1.818827
   0.020408,    1.802255
   0.040816,    1.797197
   0.061224,    1.789670
   0.081633,    1.780005
   0.102041,    1.768429
   0.122449,    1.755106
   0.142857,    1.740165
   0.163265,    1.723707
   0.183673,    1.705813
   0.204082,    1.686546
   0.224490,    1.665951
   0.244898,    1.644060
   0.265306,    1.620888
   0.285714,    1.595888
   0.306122,    1.569370
   0.326531,    1.543066
   0.346939,    1.514316
   0.367347,    1.484540
   0.387755,    1.453888
   0.408163,    1.422482
   0.428571,    1.390419
   0.448980,    1.357787
   0.469388,    1.324658
   0.489796,    1.291096
   0.510204,    1.257152
   0.530612,    1.222871
   0.551020,    1.188302
   0.571429,    1.153478
   0.591837,    1.118423
   0.612245,    1.083154
   0.632653,    1.047682
   0.653061,    1.012006
   0.673469,    0.976115
   0.693878,    0.939988
   0.714286,    0.903585
   0.734694,    0.866851
   0.755102,    0.829705
   0.775510,    0.792036
   0.795918,    0.753692
   0.816327,    0.714460
   0.836735,    0.674052
   0.857143,    0.632056
   0.877551,    0.587884
   0.897959,    0.540658
   0.918367,    0.489008
   0.938776,    0.430638
   0.959184,    0.361204
   0.979592,    0.270316
   1.000000,    0.000000
