eta, Ccl
   0.000000,    2.715572
   0.020408,    2.690886
   0.040816,    2.683512
   0.061224,    2.672572
   0.081633,    2.658572
   0.102041,    2.641850
   0.122449,    2.622663
   0.142857,    2.601212
   0.163265,    2.577661
   0.183673,    2.552146
   0.204082,    2.524783
   0.224490,    2.495671
   0.244898,    2.464896
   0.265306,    2.432537
   0.285714,    2.397867
   0.306122,    2.361561
   0.326531,    2.326427
   0.346939,    2.288181
   0.367347,    2.248754
   0.387755,    2.208266
   0.408163,    2.166819
   0.428571,    2.124500
   0.448980,    2.081386
   0.469388,    2.037544
   0.489796,    1.993030
   0.510204,    1.947883
   0.530612,    1.902141
   0.551020,    1.855844
   0.571429,    1.809011
   0.591837,    1.761650
   0.612245,    1.713760
   0.632653,    1.665327
   0.653061,    1.616320
   0.673469,    1.566692
   0.693878,    1.516377
   0.714286,    1.465279
   0.734694,    1.413273
   0.755102,    1.360187
   0.775510,    1.305798
   0.795918,    1.249804
   0.816327,    1.191801
   0.836735,    1.131236
   0.857143,    1.067342
   0.877551,    0.999027
   0.897959,    0.924675
   0.918367,    0.841778
   0.938776,    0.746155
   0.959184,    0.629942
   0.979592,    0.474441
   1.000000,    0.000000
