Ground distance, Load Factor
24320.516559,    0.996834
24439.008196,    0.997691
24557.499905,    0.997200
24675.991498,    0.996712
24794.483407,    0.997567
24912.975214,    0.997079
25031.467026,    0.996594
25149.959131,    0.997448
25268.451032,    0.996962
25386.943058,    0.996481
25505.435276,    0.997334
25623.927310,    0.996850
25742.419596,    0.997707
25860.911870,    0.997223
25979.404038,    0.996743
26097.896526,    0.997599
26216.388909,    0.997118
26246.719160,    0.996996
