V (EAS), 
 138.510944,    0.000000
 138.510944,    1.000000
 147.454731,    1.133311
 156.398519,    1.274961
 165.342306,    1.424950
 174.286094,    1.583278
 183.229881,    1.749945
 192.173669,    1.924950
 201.117456,    2.108295
 210.061244,    2.299978
 219.005031,    2.500000
 353.659326,    2.500000
 442.074157,    2.500000
 442.074157,    0.000000
 353.659326,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,   -1.000000
 175.750685,    0.000000
