eta, CL add.
   0.000000,    0.878157
   0.020408,    0.884761
   0.040816,    0.897209
   0.061224,    0.908816
   0.081633,    0.919765
   0.102041,    0.930178
   0.122449,    0.940147
   0.142857,    0.949746
   0.163265,    0.959040
   0.183673,    0.968089
   0.204082,    0.976951
   0.224490,    0.985687
   0.244898,    0.994368
   0.265306,    1.003087
   0.285714,    1.011643
   0.306122,    1.018391
   0.326531,    1.021690
   0.346939,    1.024311
   0.367347,    1.026886
   0.387755,    1.029358
   0.408163,    1.031695
   0.428571,    1.033869
   0.448980,    1.035862
   0.469388,    1.037653
   0.489796,    1.039223
   0.510204,    1.040547
   0.530612,    1.041601
   0.551020,    1.042357
   0.571429,    1.042783
   0.591837,    1.042835
   0.612245,    1.042466
   0.632653,    1.041614
   0.653061,    1.040206
   0.673469,    1.038150
   0.693878,    1.035333
   0.714286,    1.031610
   0.734694,    1.026801
   0.755102,    1.020672
   0.775510,    1.012918
   0.795918,    1.003140
   0.816327,    0.990799
   0.836735,    0.975159
   0.857143,    0.955185
   0.877551,    0.929385
   0.897959,    0.895523
   0.918367,    0.850080
   0.938776,    0.787128
   0.959184,    0.695500
   0.979592,    0.549114
   1.000000,    0.000000
