Ground Distance, Acceleration
   0.000000,    3.795210
   1.888207,    3.738674
   7.515043,    3.681598
  16.823440,    3.624044
  29.755848,    3.566071
  46.254292,    3.507716
  66.260421,    3.449026
  89.715560,    3.390077
 116.560764,    3.330935
 146.736874,    3.271587
 180.184565,    3.212146
 216.844408,    3.152705
 256.656958,    3.093319
 299.562843,    3.034143
 345.502892,    2.975230
 394.418214,    2.916737
 446.250302,    2.858609
 500.941031,    2.800890
 556.079956,    2.745580
 616.213220,    2.732436
 655.025820,    2.724159
 693.878315,    2.563023
 726.593608,    2.261662
 793.579443,    1.307096
 861.925148,    0.863279
 882.696589,    0.770818
 952.123568,    0.527491
1022.084086,    0.355208
1092.405670,    0.249410
1162.982808,    0.211614
1230.337953,    0.234102
1301.348304,    0.227801
1372.585930,    0.215193
1444.038270,    0.196845
1515.687039,    0.173518
1587.508987,    0.146132
1659.476815,    0.115719
1731.560201,    0.083389
1735.058764,    0.081793
1807.227413,    0.041191
1879.437336,    0.001590
1882.668506,   -0.000137
1954.885567,   -0.000799
2027.102302,    0.000155
2099.318880,   -0.000285
2171.535327,   -0.000426
2243.751918,    0.000962
2315.968655,    0.000915
2388.185521,    0.000879
2426.689780,   -0.000009
2498.906362,   -0.001005
2571.122393,    0.000025
2643.338169,    0.000963
2715.554221,   -0.000159
2787.770766,    0.000251
2859.987865,    0.001065
2932.205324,    0.000876
3004.423037,    0.000643
3076.640937,    0.000684
3148.858996,    0.000219
3221.077178,   -0.000226
3293.295380,   -0.000432
3365.513644,    0.000411
3437.732046,   -0.000099
3509.950493,   -0.000398
3582.168948,    0.000626
3654.387552,    0.000053
3726.606246,   -0.000287
3798.824985,    0.000911
3871.043855,    0.000231
3943.262843,   -0.000205
4015.481871,   -0.000411
4087.700977,    0.000426
4159.920237,   -0.000080
4232.139567,   -0.000356
4304.358948,    0.000657
4376.578491,    0.000061
4448.798120,   -0.000300
4521.017771,    0.000887
4593.237555,    0.000207
4665.457457,   -0.000212
4737.677403,   -0.000384
4809.897470,    0.000419
4882.117700,   -0.000092
4954.337992,   -0.000381
5026.558312,    0.000598
5098.778786,    0.000033
5170.999346,   -0.000290
5243.219955,    0.000861
5315.440713,    0.000212
5387.661592,   -0.000211
5459.882514,   -0.000393
5532.103538,    0.000403
5604.324718,   -0.000096
5676.545959,   -0.000363
5748.767250,    0.000606
5820.988694,    0.000031
5893.210218,   -0.000301
5965.431773,    0.000839
6037.653473,    0.000203
6109.875302,   -0.000187
6182.097204,   -0.000401
6254.319188,    0.000384
6326.541342,   -0.000071
6398.763593,   -0.000343
6470.985909,    0.000609
6543.208389,    0.000030
6615.430953,   -0.000286
6687.653570,    0.000832
6759.876341,    0.000190
6832.099142,    0.000007
6904.322056,    0.000857
6976.545110,   -0.000101
7048.768121,   -0.000414
7120.991128,    0.000784
7193.214245,    0.000202
7265.437436,   -0.000228
7337.660640,   -0.000450
7409.883893,    0.000593
7482.107275,    0.000048
7554.330723,   -0.000320
7626.554180,    0.001006
7698.777705,    0.000338
7771.001339,   -0.000125
7843.225021,   -0.000410
7915.448730,    0.000695
7987.672558,    0.000093
8000.000000,    0.000320
