eta, gamma basic
   0.000000,  137.964748
   0.020408,  137.922292
   0.040816,  137.777414
   0.061224,  137.508823
   0.081633,  137.110512
   0.102041,  136.581243
   0.122449,  135.922002
   0.142857,  135.134745
   0.163265,  134.221632
   0.183673,  133.184498
   0.204082,  132.024441
   0.224490,  130.741410
   0.244898,  129.333692
   0.265306,  127.797029
   0.285714,  126.122843
   0.306122,  124.284145
   0.326531,  122.252803
   0.346939,  120.074177
   0.367347,  117.781023
   0.387755,  115.392120
   0.408163,  112.921457
   0.428571,  110.380329
   0.448980,  107.778209
   0.469388,  105.123211
   0.489796,  102.422369
   0.510204,   99.681473
   0.530612,   96.905994
   0.551020,   94.100911
   0.571429,   91.270146
   0.591837,   88.416982
   0.612245,   85.544047
   0.632653,   82.653292
   0.653061,   79.745929
   0.673469,   76.822339
   0.693878,   73.881937
   0.714286,   70.922977
   0.734694,   67.942273
   0.755102,   64.934810
   0.775510,   61.893177
   0.795918,   58.806755
   0.816327,   55.660494
   0.836735,   52.433065
   0.857143,   49.093931
   0.877551,   45.598522
   0.897959,   41.879818
   0.918367,   37.832485
   0.938776,   33.279359
   0.959184,   27.886530
   0.979592,   20.861604
   1.000000,    0.000000
