alpha_b, CD
  -4.000000,    0.008469
  -3.172414,    0.008243
  -2.344828,    0.008052
  -1.517241,    0.007906
  -0.689655,    0.007816
   0.137931,    0.007792
   0.965517,    0.007844
   1.793103,    0.007981
   2.620690,    0.008213
   3.448276,    0.008548
   4.275862,    0.008996
   5.103448,    0.009566
   5.931034,    0.010266
   6.758621,    0.011106
   7.586207,    0.012094
   8.413793,    0.013240
   9.241379,    0.014553
  10.068966,    0.016041
  10.896552,    0.017714
  11.724138,    0.019582
  12.551724,    0.021653
  13.379310,    0.023937
  14.206897,    0.026443
  15.034483,    0.029182
  15.862069,    0.032162
