alpha body, CLh_e
 -10.000000,   -0.501197
  -9.000000,   -0.449624
  -8.000000,   -0.398905
  -7.000000,   -0.349042
  -6.000000,   -0.300047
  -5.000000,   -0.251849
  -4.000000,   -0.204454
  -3.000000,   -0.157918
  -2.000000,   -0.110252
  -1.000000,   -0.065037
   0.000000,   -0.020668
   1.000000,    0.022910
   2.000000,    0.065639
   3.000000,    0.107497
   4.000000,    0.148481
   5.000000,    0.188611
   6.000000,    0.227958
   7.000000,    0.266474
   8.000000,    0.304131
   9.000000,    0.340928
  10.000000,    0.376880
  11.000000,    0.411993
  12.000000,    0.444794
  13.000000,    0.473256
  14.000000,    0.497529
  15.000000,    0.519504
  16.000000,    0.542230
  17.000000,    0.564703
  18.000000,    0.590305
