alpha body, CLh_e
 -10.000000,   -0.607439
  -9.090909,   -0.547888
  -8.181818,   -0.489053
  -7.272727,   -0.430850
  -6.363636,   -0.373352
  -5.454545,   -0.316616
  -4.545455,   -0.260617
  -3.636364,   -0.205259
  -2.727273,   -0.150633
  -1.818182,   -0.094685
  -0.909091,   -0.041181
  -0.000000,    0.011663
   0.909091,    0.063759
   1.818182,    0.115083
   2.727273,    0.165686
   3.636364,    0.215616
   4.545455,    0.264784
   5.454545,    0.313190
   6.363636,    0.360896
   7.272727,    0.407913
   8.181818,    0.454169
   9.090909,    0.499680
  10.000000,    0.544507
  10.909091,    0.588614
  11.818182,    0.630280
  12.727273,    0.666563
  13.636364,    0.696442
  14.545455,    0.720735
  15.454545,    0.741886
  16.363636,    0.763670
  17.272727,    0.786737
  18.181818,    0.816119
  19.090909,    0.861514
  20.000000,    0.929658
