alpha body, CLh_e
 -10.000000,   -0.338693
  -9.000000,   -0.308538
  -8.000000,   -0.279208
  -7.000000,   -0.250699
  -6.000000,   -0.223018
  -5.000000,   -0.196091
  -4.000000,   -0.169921
  -3.000000,   -0.144561
  -2.000000,   -0.118091
  -1.000000,   -0.093959
   0.000000,   -0.070618
   1.000000,   -0.048013
   2.000000,   -0.026200
   3.000000,   -0.005197
   4.000000,    0.014996
   5.000000,    0.034397
   6.000000,    0.053073
   7.000000,    0.070977
   8.000000,    0.088087
   9.000000,    0.104404
  10.000000,    0.119939
  11.000000,    0.134751
  12.000000,    0.149506
  13.000000,    0.165547
  14.000000,    0.183789
  15.000000,    0.204124
  16.000000,    0.224928
