alpha body, CLh_e
 -10.000000,   -0.608404
  -9.000000,   -0.542701
  -8.000000,   -0.477871
  -7.000000,   -0.413920
  -6.000000,   -0.350863
  -5.000000,   -0.288633
  -4.000000,   -0.227236
  -3.000000,   -0.166730
  -2.000000,   -0.105081
  -1.000000,   -0.045956
   0.000000,    0.012285
   1.000000,    0.069700
   2.000000,    0.126226
   3.000000,    0.181842
   4.000000,    0.236542
   5.000000,    0.290347
   6.000000,    0.343333
   7.000000,    0.395445
   8.000000,    0.446657
   9.000000,    0.496967
  10.000000,    0.546388
  11.000000,    0.594893
  12.000000,    0.639598
  13.000000,    0.676256
  14.000000,    0.704507
  15.000000,    0.727564
  16.000000,    0.751557
  17.000000,    0.779730
  18.000000,    0.821768
