alpha body, CLh_e
 -10.000000,   -0.340731
  -9.090909,   -0.313118
  -8.181818,   -0.286185
  -7.272727,   -0.259835
  -6.363636,   -0.234140
  -5.454545,   -0.209150
  -4.545455,   -0.184837
  -3.636364,   -0.161101
  -2.727273,   -0.138029
  -1.818182,   -0.113685
  -0.909091,   -0.091609
  -0.000000,   -0.070121
   0.909091,   -0.049302
   1.818182,   -0.029169
   2.727273,   -0.009675
   3.636364,    0.009223
   4.545455,    0.027448
   5.454545,    0.045002
   6.363636,    0.061939
   7.272727,    0.078269
   8.181818,    0.093933
   9.090909,    0.108943
  10.000000,    0.123353
  10.909091,    0.137159
  11.818182,    0.150643
  12.727273,    0.164685
  13.636364,    0.180059
  14.545455,    0.197103
  15.454545,    0.215550
