alpha body, CLh_e
 -10.000000,   -0.500640
  -9.090909,   -0.453878
  -8.181818,   -0.407818
  -7.272727,   -0.362370
  -6.363636,   -0.317607
  -5.454545,   -0.273583
  -4.545455,   -0.230272
  -3.636364,   -0.187576
  -2.727273,   -0.145586
  -1.818182,   -0.102293
  -0.909091,   -0.061374
  -0.000000,   -0.021086
   0.909091,    0.018486
   1.818182,    0.057320
   2.727273,    0.095466
   3.636364,    0.132969
   4.545455,    0.169747
   5.454545,    0.205799
   6.363636,    0.241184
   7.272727,    0.275913
   8.181818,    0.309919
   9.090909,    0.343216
  10.000000,    0.375863
  10.909091,    0.407836
  11.818182,    0.438218
  12.727273,    0.465595
  13.636364,    0.489666
  14.545455,    0.511056
  15.454545,    0.531124
  16.363636,    0.551699
  17.272727,    0.571092
  18.181818,    0.590863
  19.090909,    0.616018
  20.000000,    0.648197
