alpha body, CLh_e
 -10.000000,   -0.500870
  -9.000000,   -0.449340
  -8.000000,   -0.398664
  -7.000000,   -0.348844
  -6.000000,   -0.299891
  -5.000000,   -0.251736
  -4.000000,   -0.204385
  -3.000000,   -0.157891
  -2.000000,   -0.110268
  -1.000000,   -0.065095
   0.000000,   -0.020768
   1.000000,    0.022768
   2.000000,    0.065454
   3.000000,    0.107270
   4.000000,    0.148212
   5.000000,    0.188300
   6.000000,    0.227606
   7.000000,    0.266080
   8.000000,    0.303695
   9.000000,    0.340452
  10.000000,    0.376363
  11.000000,    0.411434
  12.000000,    0.444198
  13.000000,    0.472636
  14.000000,    0.496896
  15.000000,    0.518869
  16.000000,    0.541590
  17.000000,    0.564046
  18.000000,    0.589598
