alpha body, CLh_e
 -10.000000,   -0.607509
  -9.000000,   -0.541924
  -8.000000,   -0.477212
  -7.000000,   -0.413378
  -6.000000,   -0.350439
  -5.000000,   -0.288325
  -4.000000,   -0.227046
  -3.000000,   -0.166657
  -2.000000,   -0.105124
  -1.000000,   -0.046115
   0.000000,    0.012010
   1.000000,    0.069309
   2.000000,    0.125721
   3.000000,    0.181221
   4.000000,    0.235807
   5.000000,    0.289497
   6.000000,    0.342369
   7.000000,    0.394368
   8.000000,    0.445467
   9.000000,    0.495664
  10.000000,    0.544972
  11.000000,    0.593366
  12.000000,    0.637972
  13.000000,    0.674560
  14.000000,    0.702778
  15.000000,    0.725827
  16.000000,    0.749809
  17.000000,    0.777934
  18.000000,    0.819834
