alpha body, CLh_e
 -10.000000,   -0.309757
  -9.000000,   -0.284148
  -8.000000,   -0.259209
  -7.000000,   -0.234942
  -6.000000,   -0.211357
  -5.000000,   -0.188395
  -4.000000,   -0.166062
  -3.000000,   -0.144404
  -2.000000,   -0.121516
  -1.000000,   -0.100823
   0.000000,   -0.080795
   1.000000,   -0.061390
   2.000000,   -0.042653
   3.000000,   -0.024602
   4.000000,   -0.007237
   5.000000,    0.009455
   6.000000,    0.025529
   7.000000,    0.040945
   8.000000,    0.055685
   9.000000,    0.069746
  10.000000,    0.083140
  11.000000,    0.095922
  12.000000,    0.108968
  13.000000,    0.123901
  14.000000,    0.141603
  15.000000,    0.161683
